"test","outer","value_mean","value_sd"
"allrules_15",1,17161.4830494,455.774864416651
"allrules_15",2,17179.7528071,455.16527739245
"allrules_15",3,17195.1884068,441.079315725964
"allrules_15",4,17226.2227226,441.074528155911
"allrules_15",5,17266.8350269,433.624590893487
"allrules_15",6,17324.5314153,421.862274633251
"allrules_15",7,17369.557738,420.682166234315
"allrules_15",8,17423.6025696,427.428612992815
"allrules_15",9,17467.8858738,416.369602314446
"allrules_15",10,17517.9014706,419.916042123878
"allrules_15",11,17570.5470709,415.813226303922
"allrules_15",12,17617.2927218,420.067535187689
"allrules_15",13,17669.9563496,425.557208156221
"allrules_15",14,17720.0515831,419.529732856722
"allrules_15",15,17771.6969675,418.635062180248
"allrules_15",16,17825.3492202,422.658375838644
"allrules_15",17,17867.8521486,412.645863027872
"allrules_15",18,17926.4590439,408.173100057965
"allrules_15",19,17988.8605973,412.001767969073
"allrules_3",1,17231.8219975,417.043522899317
"allrules_3",2,17295.7993308,426.815953097822
"allrules_3",3,17376.7203256,425.053781536112
"allrules_3",4,17451.9148517,409.175795901421
"allrules_3",5,17524.9369059,411.75130731304
"allrules_3",6,17597.2902177,406.846368494817
"allrules_3",7,17670.5586036,406.225383052017
"allrules_3",8,17740.7086286,400.773397689364
"allrules_3",9,17817.0737504,392.648346124688
"allrules_3",10,17886.1384226,392.005026827344
"allrules_3",11,17963.2998084,395.563389830289
"allrules_3",12,18035.3481041,387.554429546455
"allrules_3",13,18103.7786876,393.462322232396
"allrules_3",14,18174.3196405,397.795989173135
"allrules_3",15,18242.1051772,396.020632823263
"allrules_3",16,18318.6951358,387.616174613481
"allrules_3",17,18388.7290549,387.345150238342
"allrules_3",18,18459.3248856,387.083767460324
"allrules_3",19,18530.9449398,377.159291307849
"domlem_15",1,17146.2542615,289.832241754720
"domlem_15",2,17161.2249273,288.614810855204
"domlem_15",3,17184.3292202,290.892617219034
"domlem_15",4,17203.2976196,291.768558663837
"domlem_15",5,17242.7098514,288.375542457028
"domlem_15",6,17298.0210638,292.717941282796
"domlem_15",7,17339.3215487,286.301837519589
"domlem_15",8,17398.1677201,295.971520161277
"domlem_15",9,17439.4513084,293.479582168833
"domlem_15",10,17487.9753886,302.362955632244
"domlem_15",11,17534.9725676,299.480962699489
"domlem_15",12,17578.2510134,298.498755159194
"domlem_15",13,17617.1270581,307.41887472654
"domlem_15",14,17661.7916985,312.390496498935
"domlem_15",15,17722.4727172,306.961444664420
"domlem_15",16,17769.2938491,303.993975671529
"domlem_15",17,17814.0674946,304.531102852656
"domlem_15",18,17850.5254386,305.773222295754
"domlem_15",19,17901.1153482,300.314106162304
"domlem_15_conf06",1,17229.3196925,354.178337982364
"domlem_15_conf06",2,17207.8115001,321.339652055243
"domlem_15_conf06",3,17217.3136752,322.248041299726
"domlem_15_conf06",4,17230.8076761,322.910810060601
"domlem_15_conf06",5,17259.304404,326.664598130855
"domlem_15_conf06",6,17308.5036349,329.177267228821
"domlem_15_conf06",7,17354.3850562,323.745775856697
"domlem_15_conf06",8,17398.2751631,334.839499897437
"domlem_15_conf06",9,17446.8356041,323.691483642873
"domlem_15_conf06",10,17505.4895329,334.106858400688
"domlem_15_conf06",11,17555.55051,317.438616349504
"domlem_15_conf06",12,17598.4649112,317.515619186202
"domlem_15_conf06",13,17648.203946,320.051009421829
"domlem_15_conf06",14,17702.1607836,325.915730306578
"domlem_15_conf06",15,17743.4864695,328.492644166972
"domlem_15_conf06",16,17792.3619615,329.369606712235
"domlem_15_conf06",17,17840.9841861,328.873071489292
"domlem_15_conf06",18,17890.9774226,333.680498407632
"domlem_15_conf06",19,17936.0941745,334.585572004233
"domlem_15_conf08",1,17230.0073765,446.395724479261
"domlem_15_conf08",2,17239.3791042,448.691487675547
"domlem_15_conf08",3,17266.2384014,438.789735470211
"domlem_15_conf08",4,17290.938907,431.124141435852
"domlem_15_conf08",5,17317.951385,423.199434502806
"domlem_15_conf08",6,17366.7437762,417.843932013496
"domlem_15_conf08",7,17412.1650577,420.421855190844
"domlem_15_conf08",8,17460.9195713,419.905299389037
"domlem_15_conf08",9,17506.704436,409.031828432589
"domlem_15_conf08",10,17555.3185354,402.218584510326
"domlem_15_conf08",11,17593.4045907,390.430609403585
"domlem_15_conf08",12,17640.4302572,390.139618772209
"domlem_15_conf08",13,17687.5878038,395.363685871167
"domlem_15_conf08",14,17735.7716716,396.732767716842
"domlem_15_conf08",15,17779.3766264,399.377820205996
"domlem_15_conf08",16,17823.4648474,403.742934814265
"domlem_15_conf08",17,17878.2403998,404.604329534484
"domlem_15_conf08",18,17932.3090528,408.016049855414
"domlem_15_conf08",19,17979.3221068,406.360334143536
"domlem_3",1,17322.223946,668.984610991578
"domlem_3",2,17371.1755699,673.656325311197
"domlem_3",3,17438.9621576,679.204459359951
"domlem_3",4,17501.6628711,692.873337353782
"domlem_3",5,17568.9168483,690.83607547886
"domlem_3",6,17652.4447413,701.710506218454
"domlem_3",7,17721.1599371,700.917410507712
"domlem_3",8,17786.7638194,701.591318599617
"domlem_3",9,17861.9501538,701.167431354414
"domlem_3",10,17939.2710132,700.251684139723
"domlem_3",11,18008.4101327,699.713214888414
"domlem_3",12,18080.7230433,704.50306081966
"domlem_3",13,18154.3766071,698.566254460076
"domlem_3",14,18221.9899565,694.497932083262
"domlem_3",15,18298.6271113,680.757122316996
"domlem_3",16,18379.690854,672.543560349017
"domlem_3",17,18452.4837733,676.785146659767
"domlem_3",18,18514.7040882,676.08165658114
"domlem_3",19,18585.8778378,672.574926698363
