"test","outer","value_mean","value_sd"
"allrules_15",1,19590.5698607,503.179811479843
"allrules_15",2,21277.6627484,604.594736322979
"allrules_15",3,22801.5644581,710.08261045468
"allrules_15",4,24012.4309313,778.348585733794
"allrules_15",5,25230.7392299,727.829043980829
"allrules_15",6,26335.5902056,605.705144522914
"allrules_15",7,27088.7398869,664.139256178495
"allrules_15",8,27445.2571,712.088316813868
"allrules_15",9,27694.4267955,540.804260824387
"allrules_15",10,27979.1594709,772.899251461116
"allrules_15",11,28253.6779131,619.3532208811
"allrules_15",12,28592.1675292,594.669977018229
"allrules_15",13,28827.8352581,646.820618766316
"allrules_15",14,29075.8236993,630.428863425442
"allrules_15",15,29316.5787668,586.53202096487
"allrules_15",16,29408.0158416,627.953349501381
"allrules_15",17,29466.1936121,576.402064351047
"allrules_15",18,29521.4172421,551.80589869794
"allrules_15",19,29564.5084641,524.960962807543
"allrules_3",1,19654.0438524,423.414280330573
"allrules_3",2,21681.4805614,459.951423611255
"allrules_3",3,23499.044348,568.056700895802
"allrules_3",4,24809.0337858,705.281320270709
"allrules_3",5,26060.0373132,621.507157159807
"allrules_3",6,27209.6412874,614.583541719987
"allrules_3",7,27930.9136928,650.571754424513
"allrules_3",8,28359.4264346,481.931950546372
"allrules_3",9,28775.103047,393.685800394575
"allrules_3",10,29144.9867326,293.663623494875
"allrules_3",11,29365.6462239,243.165569695167
"allrules_3",12,29591.7062405,324.822069156529
"allrules_3",13,29774.4601482,338.316321225807
"allrules_3",14,29924.411113,350.677602070511
"allrules_3",15,30063.9116082,334.552046071454
"allrules_3",16,30128.4745316,357.493982692407
"allrules_3",17,30233.774544,285.614693212984
"allrules_3",18,30299.1466116,214.626026549034
"allrules_3",19,30362.7523809,200.373179448012
"domlem_15",1,19431.8422474,606.261671771875
"domlem_15",2,20883.373651,698.312294466102
"domlem_15",3,22341.7583175,737.005633160515
"domlem_15",4,23567.1531284,588.601796015545
"domlem_15",5,24603.8618944,562.657654777024
"domlem_15",6,25625.5351726,592.871703957325
"domlem_15",7,26520.4157202,588.081856917707
"domlem_15",8,27083.3570061,340.367800128158
"domlem_15",9,27534.4704376,391.287711872708
"domlem_15",10,27789.6055583,538.013871139015
"domlem_15",11,28112.0277892,492.450648443215
"domlem_15",12,28463.6933957,441.813302783305
"domlem_15",13,28837.5956125,398.569139180387
"domlem_15",14,29110.2433094,376.366649015635
"domlem_15",15,29387.3954618,341.409208359045
"domlem_15",16,29637.3461872,330.428771303873
"domlem_15",17,29861.4993706,241.94141598533
"domlem_15",18,29973.7113645,194.80635596477
"domlem_15",19,30112.3813832,235.718300331531
"domlem_15_conf06",1,19445.3128621,421.774495606841
"domlem_15_conf06",2,21083.6689226,686.763141238021
"domlem_15_conf06",3,22543.2440116,858.028242134532
"domlem_15_conf06",4,23856.8973576,825.855934348144
"domlem_15_conf06",5,25117.3601295,849.032783121943
"domlem_15_conf06",6,26052.876785,881.377086750084
"domlem_15_conf06",7,26953.0298958,784.842046116995
"domlem_15_conf06",8,27583.9832433,711.070474677432
"domlem_15_conf06",9,27943.5264653,545.535320415775
"domlem_15_conf06",10,28161.3416591,610.836722242165
"domlem_15_conf06",11,28229.7588088,728.356361504705
"domlem_15_conf06",12,28610.1868017,520.070269015385
"domlem_15_conf06",13,28950.7974799,488.546207374896
"domlem_15_conf06",14,29191.1522877,341.494969794868
"domlem_15_conf06",15,29417.8858675,303.017097579636
"domlem_15_conf06",16,29671.7614012,233.117098451991
"domlem_15_conf06",17,29870.5287703,275.050894053053
"domlem_15_conf06",18,29948.0506187,313.326270071406
"domlem_15_conf06",19,30095.9645125,284.388861770669
"domlem_15_conf08",1,19473.2578611,665.649538080073
"domlem_15_conf08",2,21087.1924545,660.607333945909
"domlem_15_conf08",3,22592.1054905,860.469818937912
"domlem_15_conf08",4,23969.5989551,779.298326521912
"domlem_15_conf08",5,25160.3165068,648.8629285939
"domlem_15_conf08",6,26062.7762223,592.331822147754
"domlem_15_conf08",7,26629.0545157,669.817868115794
"domlem_15_conf08",8,27132.3267503,435.337103010097
"domlem_15_conf08",9,27455.0226078,416.585944470477
"domlem_15_conf08",10,27775.0461519,336.65836588518
"domlem_15_conf08",11,27932.8933784,417.728140911384
"domlem_15_conf08",12,28376.8066634,427.950394105112
"domlem_15_conf08",13,28678.8337599,401.155383865402
"domlem_15_conf08",14,28901.3753784,377.325385965349
"domlem_15_conf08",15,29245.945232,400.070585549674
"domlem_15_conf08",16,29390.7198686,447.677853566232
"domlem_15_conf08",17,29609.8369469,453.600477963504
"domlem_15_conf08",18,29792.6728048,361.439605613541
"domlem_15_conf08",19,29914.3456909,327.458942356027
"domlem_3",1,20183.7578351,650.940073275718
"domlem_3",2,22059.3867276,535.949066067991
"domlem_3",3,23534.27254,560.258720243879
"domlem_3",4,25001.6614604,484.232761380556
"domlem_3",5,26316.0971839,445.479542107166
"domlem_3",6,27366.9219207,294.469562982528
"domlem_3",7,28107.7779692,196.500681531551
"domlem_3",8,28624.2711183,173.229943128061
"domlem_3",9,28985.2912258,264.568190799308
"domlem_3",10,29282.2831048,227.330420667052
"domlem_3",11,29544.8207401,206.357534418064
"domlem_3",12,29780.9795493,225.717372858985
"domlem_3",13,29944.5355925,239.492617323603
"domlem_3",14,30090.8587031,213.271842284389
"domlem_3",15,30253.0074109,206.257305868037
"domlem_3",16,30385.8984911,208.704728795441
"domlem_3",17,30451.9033454,210.785646697873
"domlem_3",18,30548.5745865,244.169920743995
"domlem_3",19,30628.9497764,206.638821073441
