"outer","utility_min","utility_max","utility_last"
1,2010.771248,2977.59815,2977.59815
2,2645.302305,3261.939062,3261.939062
3,2878.132556,3531.511726,3531.511726
4,3157.207267,3690.836324,3690.836324
5,3447.659101,3742.631201,3742.631201
6,3633.384534,3750.726037,3746.680004
7,3709.78256,3820.607766,3820.607766
8,3762.387995,3870.582003,3870.582003
9,3819.330064,3953.277528,3953.277528
10,3868.901868,4000.994269,4000.994269
11,3937.779606,4021.990224,4021.990224
12,3976.376482,4047.962369,4047.962369
13,3990.09887,4048.649925,4048.649925
14,3870.371054,4048.649925,4048.649925
15,3893.020906,4048.649925,4048.649925
16,3882.288705,4050.122179,4042.714936
17,3966.951762,4048.160955,4042.714936
18,3918.104101,4045.837995,4045.837995
19,3881.015595,4055.682957,4054.480501
