"outer","utility_min","utility_max","utility_last"
1,-3.305159,-1.220363,-1.24326
2,-2.924773,-1.209789,-1.239262
3,-2.883673,-1.211222,-1.239262
4,-3.006307,-1.107159,-1.141514
5,-2.662714,-1.127891,-1.141514
6,-2.593721,-1.131505,-1.141514
7,-2.578441,-1.101153,-1.101153
8,-2.964813,-1.100694,-1.100694
9,-2.388789,-1.100694,-1.100694
10,-2.872794,-1.100694,-1.228997
11,-2.872794,-1.183344,-1.324176
12,-2.821928,-1.201471,-1.277321
13,-2.717598,-1.11638,-1.141858
14,-2.893017,-1.112149,-1.123521
15,-2.867764,-1.123521,-1.152695
16,-2.867764,-1.152695,-1.272908
17,-2.748623,-1.121707,-1.121707
18,-2.436208,-1.121707,-1.181205
19,-2.722649,-1.105228,-1.105228
