"test","outer","value_mean","value_sd"
"all_rules",1,-27.1393254,16.6749576652531
"all_rules",2,-20.1901758666667,14.5155617029969
"all_rules",3,-18.285464,13.3580641860905
"all_rules",4,-17.1014724,12.7693523686816
"all_rules",5,-16.2109684,12.9240668372333
"all_rules",6,-15.2140212,12.4279585424110
"all_rules",7,-14.6115538666667,12.2422252892203
"all_rules",8,-14.0221916666667,12.5357647496025
"all_rules",9,-13.5967508,12.4166066060819
"all_rules",10,-13.0535742,11.7979520534812
"all_rules",11,-12.4994174,11.4304714407193
"all_rules",12,-12.2577856666667,11.4733555119812
"all_rules",13,-12.2056030666667,11.5814065253006
"all_rules",14,-11.9107121333333,11.4722091123911
"all_rules",15,-11.8422962,11.4757145507110
"all_rules",16,-11.5644841333333,11.3213943953809
"all_rules",17,-11.2526504666667,11.2965702715787
"all_rules",18,-11.0667430666667,11.2994511903543
"all_rules",19,-10.6707508,11.1237564369611
"allrules_15good",1,-15.9057201,5.85556035682728
"allrules_15good",2,-10.3998425,4.76524065106002
"allrules_15good",3,-9.0707026,4.40860177959957
"allrules_15good",4,-8.2907986,3.94218086367359
"allrules_15good",5,-7.1591062,3.29359518272365
"allrules_15good",6,-6.1006858,2.98999022597796
"allrules_15good",7,-5.6530246,3.23199495944086
"allrules_15good",8,-5.3074947,3.47247591289776
"allrules_15good",9,-4.812787,3.26594089187327
"allrules_15good",10,-4.5213741,3.04762716418792
"allrules_15good",11,-4.2083127,3.18921590790844
"allrules_15good",12,-4.1838711,3.47139147478601
"allrules_15good",13,-3.7924346,3.6479547180541
"allrules_15good",14,-3.2418574,3.5525578863957
"allrules_15good",15,-2.9737998,3.5122731301023
"allrules_15good",16,-2.8526141,3.49351697230553
"allrules_15good",17,-2.5747586,3.35765164953603
"allrules_15good",18,-2.6394718,3.45197639312424
"allrules_15good",19,-2.3148267,3.13953487371886
