"test","outer","value_mean","value_sd"
"all_rules",1,6334.75292646667,350.796872342782
"all_rules",2,6502.0194544,211.881671555705
"all_rules",3,6552.46480646667,100.799612892492
"all_rules",4,6574.42480686667,71.2155294139745
"all_rules",5,6591.53960613333,59.8065507506741
"all_rules",6,6620.314801,87.7744022851899
"all_rules",7,6628.49412906667,82.0935782790599
"all_rules",8,6640.54250186667,82.1837514954784
"all_rules",9,6656.77217593333,71.2759595115503
"all_rules",10,6658.3927246,69.9773970713171
"all_rules",11,6673.27451006667,60.5946250191812
"all_rules",12,6675.62779673333,58.2978750265909
"all_rules",13,6684.04194773333,56.110427173672
"all_rules",14,6689.48933813333,48.4292987302581
"all_rules",15,6701.53887586667,47.808899240497
"all_rules",16,6701.4162474,47.7741143443366
"all_rules",17,6698.24185693333,55.5559974251233
"all_rules",18,6707.24029766667,62.7033365325859
"all_rules",19,6707.24029766667,62.7033365325859
"allrules_15good",1,5898.168885,1116.03357693193
"allrules_15good",2,6312.8006565,494.130917162472
"allrules_15good",3,6522.1096734,195.942046495099
"allrules_15good",4,6527.2006229,130.664598786681
"allrules_15good",5,6507.9892777,93.6454891926745
"allrules_15good",6,6517.2162978,150.399331292586
"allrules_15good",7,6540.7797431,86.55982655872
"allrules_15good",8,6566.8893605,71.7089630943257
"allrules_15good",9,6562.7365253,83.4957710234031
"allrules_15good",10,6572.1440467,79.914066902044
"allrules_15good",11,6592.8607617,77.3083670454046
"allrules_15good",12,6595.001868,56.9292331821503
"allrules_15good",13,6614.0606727,61.7336582500258
"allrules_15good",14,6614.3345382,61.81955858334
"allrules_15good",15,6617.6979618,64.5987262657644
"allrules_15good",16,6618.6028138,64.372500858146
"allrules_15good",17,6621.0904572,59.99789079936
"allrules_15good",18,6639.6179384,31.5979174893189
"allrules_15good",19,6621.8493567,63.1143794542463
