"test","outer","value_mean","value_sd"
"allrules_15good",1,-118.227525,9.6586432129846
"allrules_15good",2,-116.8741347,8.11835611779488
"allrules_15good",3,-113.3039717,8.15187581968422
"allrules_15good",4,-112.0619145,7.67984638957423
"allrules_15good",5,-112.4068513,7.96026685698617
"allrules_15good",6,-111.3962586,7.32790621393356
"allrules_15good",7,-111.0229456,7.8135663196958
"allrules_15good",8,-110.068113,7.83682308066784
"allrules_15good",9,-110.068113,7.83682308066784
"allrules_15good",10,-110.068113,7.83682308066784
"allrules_15good",11,-111.3016051,6.29679725458888
"allrules_15good",12,-111.3102551,6.30931340347376
"allrules_15good",13,-111.3102551,6.30931340347376
"allrules_15good",14,-111.3102551,6.30931340347376
"allrules_15good",15,-111.1969593,6.19616036980684
"allrules_15good",16,-110.6888606,5.61553378491534
"allrules_15good",17,-109.6202012,7.45982738708891
"allrules_15good",18,-109.6202012,7.45982738708891
"allrules_15good",19,-109.3645661,7.36688903267396
"domlem_conf08_15",1,-117.666970571429,8.00418008336108
"domlem_conf08_15",2,-116.525107714286,7.36054255372534
"domlem_conf08_15",3,-109.906189428571,10.0138880351173
"domlem_conf08_15",4,-108.711705285714,7.37315102932721
"domlem_conf08_15",5,-108.778742714286,7.32517399108146
"domlem_conf08_15",6,-108.778742714286,7.32517399108146
"domlem_conf08_15",7,-109.835095714286,8.29980406893353
"domlem_conf08_15",8,-108.838181571429,7.35528837794164
"domlem_conf08_15",9,-108.532529714286,7.28775708184896
"domlem_conf08_15",10,-108.532529714286,7.28775708184896
"domlem_conf08_15",11,-108.379979857143,7.08344336873392
"domlem_conf08_15",12,-108.379979857143,7.08344336873392
"domlem_conf08_15",13,-108.265330142857,6.94052674239128
"domlem_conf08_15",14,-106.419321,8.29768437925244
"domlem_conf08_15",15,-106.419321,8.29768437925244
"domlem_conf08_15",16,-106.419321,8.29768437925244
"domlem_conf08_15",17,-106.419321,8.29768437925244
"domlem_conf08_15",18,-106.419321,8.29768437925244
"domlem_conf08_15",19,-105.544273285714,8.65263615181839
