"test","outer","value_mean","value_sd"
"all_rules",1,6334.75292646667,350.796872342782
"all_rules",2,6502.0194544,211.881671555705
"all_rules",3,6552.46480646667,100.799612892492
"all_rules",4,6574.42480686667,71.2155294139745
"all_rules",5,6591.53960613333,59.8065507506741
"all_rules",6,6620.314801,87.7744022851899
"all_rules",7,6628.49412906667,82.0935782790599
"all_rules",8,6640.54250186667,82.1837514954784
"all_rules",9,6656.77217593333,71.2759595115503
"all_rules",10,6658.3927246,69.9773970713171
"all_rules",11,6673.27451006667,60.5946250191812
"all_rules",12,6675.62779673333,58.2978750265909
"all_rules",13,6684.04194773333,56.110427173672
"all_rules",14,6689.48933813333,48.4292987302581
"all_rules",15,6701.53887586667,47.808899240497
"all_rules",16,6701.4162474,47.7741143443366
"all_rules",17,6698.24185693333,55.5559974251233
"all_rules",18,6707.24029766667,62.7033365325859
"all_rules",19,6707.24029766667,62.7033365325859
"domlem_conf06_15",1,6399.34147042857,208.666900726729
"domlem_conf06_15",2,6516.66127114286,108.805951679303
"domlem_conf06_15",3,6555.59375842857,94.5979753418957
"domlem_conf06_15",4,6603.19182171429,88.61051870943
"domlem_conf06_15",5,6607.81329428571,90.1997693596142
"domlem_conf06_15",6,6623.12309071429,70.8414725727349
"domlem_conf06_15",7,6626.89562971429,55.6244896268532
"domlem_conf06_15",8,6661.15068,78.8590505687645
"domlem_conf06_15",9,6686.49719985714,68.391626441665
"domlem_conf06_15",10,6695.45075314286,59.806238798707
"domlem_conf06_15",11,6697.45922614286,54.0588389174279
"domlem_conf06_15",12,6697.45922614286,54.0588389174279
"domlem_conf06_15",13,6693.86990757143,59.4373810099514
"domlem_conf06_15",14,6693.593852,59.6203812024587
"domlem_conf06_15",15,6698.10194171429,57.7264160750404
"domlem_conf06_15",16,6698.10194171429,57.7264160750404
"domlem_conf06_15",17,6697.50203985714,57.2048151320492
"domlem_conf06_15",18,6707.59777928571,46.9107316896247
"domlem_conf06_15",19,6707.98346,47.6239566540612
