"test","outer","value_mean","value_sd"
"domlem",1,-60.1512435333333,44.943520189492
"domlem",2,-36.5862896666667,32.548845708575
"domlem",3,-30.7077767333333,24.5794842262576
"domlem",4,-28.5680562666667,23.2322244511759
"domlem",5,-26.3961174,21.4406716021162
"domlem",6,-25.1249192666667,20.3122354653493
"domlem",7,-23.3849356,18.3999897419335
"domlem",8,-22.7491339333333,19.0954857216631
"domlem",9,-21.6753029333333,17.6040568231055
"domlem",10,-21.0481380666667,17.5151002605077
"domlem",11,-20.0825381333333,15.8990638129427
"domlem",12,-19.3470749333333,15.4662062493966
"domlem",13,-18.9977806666667,15.3513105018304
"domlem",14,-18.5499998666667,14.7960160108357
"domlem",15,-18.0516886666667,14.6394295291694
"domlem",16,-17.8468939333333,14.5167754899317
"domlem",17,-16.9483758,13.9200280008150
"domlem",18,-16.3697012666667,14.0323824008347
"domlem",19,-16.3045493333333,14.2326899541675
"domlem_15good",1,-56.25084,22.2094772670879
"domlem_15good",2,-28.7605192,13.3575405872940
"domlem_15good",3,-22.9493936,11.8020508502574
"domlem_15good",4,-21.503697,11.5294884441872
"domlem_15good",5,-18.7348011,10.3534537145586
"domlem_15good",6,-17.7136149,10.2612503085187
"domlem_15good",7,-16.3530941,8.73878702153517
"domlem_15good",8,-16.542102,9.58545648524932
"domlem_15good",9,-16.2912019,9.42361111941052
"domlem_15good",10,-15.5015989,9.28342345461266
"domlem_15good",11,-15.1196249,8.90863065697064
"domlem_15good",12,-14.8278313,9.58904568781465
"domlem_15good",13,-13.8902922,8.51189497203815
"domlem_15good",14,-13.8434594,8.65709354021864
"domlem_15good",15,-13.3381117,8.93746587248066
"domlem_15good",16,-13.0288383,8.67393374113226
"domlem_15good",17,-12.6149526,8.26924941808616
"domlem_15good",18,-12.2347162,8.0366446177876
"domlem_15good",19,-11.8448769,8.21187249192212
"domlem_conf06",1,-82.6903534285714,28.6945971698623
"domlem_conf06",2,-44.0503947142857,30.3711737455558
"domlem_conf06",3,-33.7719481428571,18.5000058357452
"domlem_conf06",4,-30.7354328571429,18.7971744529137
"domlem_conf06",5,-29.1054328571429,16.6688098866572
"domlem_conf06",6,-27.5903724285714,13.4863527225279
"domlem_conf06",7,-26.6927415714286,13.8319144748028
"domlem_conf06",8,-24.9858542857143,11.8497418542602
"domlem_conf06",9,-24.2948411428571,10.3811749803109
"domlem_conf06",10,-22.4373308571429,8.81584495945924
"domlem_conf06",11,-21.619559,7.70184982732004
"domlem_conf06",12,-21.1307628571429,7.75321938534784
"domlem_conf06",13,-20.3155211428571,7.36709274685174
"domlem_conf06",14,-19.8504822857143,7.57199569790707
"domlem_conf06",15,-19.3582064285714,7.21759226489446
"domlem_conf06",16,-19.349467,7.33547877501021
"domlem_conf06",17,-19.0929042857143,6.75687440660507
"domlem_conf06",18,-19.147334,6.99280402171742
"domlem_conf06",19,-18.6792754285714,6.68640052905527
"domlem_conf06_15",1,-50.9859494285714,24.7587157806926
"domlem_conf06_15",2,-24.2171635714286,16.7712246295738
"domlem_conf06_15",3,-18.6985947142857,13.7750721051948
"domlem_conf06_15",4,-15.2546372857143,10.5291399914031
"domlem_conf06_15",5,-13.12703,7.68724455853624
"domlem_conf06_15",6,-12.1085008571429,7.46029973597722
"domlem_conf06_15",7,-11.7826321428571,7.96020503140002
"domlem_conf06_15",8,-10.437213,8.2850928232973
"domlem_conf06_15",9,-9.715185,7.36274176204041
"domlem_conf06_15",10,-9.08861714285714,7.39219284707572
"domlem_conf06_15",11,-8.74392871428571,7.47057291241695
"domlem_conf06_15",12,-12.4602635714286,11.1796288996645
"domlem_conf06_15",13,-11.6352655714286,10.8330560614002
"domlem_conf06_15",14,-11.5092981428571,10.9095399874929
"domlem_conf06_15",15,-11.0647831428571,10.2269894414737
"domlem_conf06_15",16,-10.5298207142857,10.9039430618847
"domlem_conf06_15",17,-9.89325571428571,10.5219134232080
"domlem_conf06_15",18,-10.0004907142857,10.7385923063745
"domlem_conf06_15",19,-9.92393814285714,10.7942560040338
"domlem_conf08",1,-69.9772635714286,34.0439122494511
"domlem_conf08",2,-34.592061,20.4936659444555
"domlem_conf08",3,-28.1592378571429,18.0039357564520
"domlem_conf08",4,-25.3087677142857,15.4209698096827
"domlem_conf08",5,-24.2540422857143,14.3951274213014
"domlem_conf08",6,-23.4466565714286,14.1601513622536
"domlem_conf08",7,-23.2473701428571,14.6505945295522
"domlem_conf08",8,-22.7893488571429,14.5577702674142
"domlem_conf08",9,-22.7632241428571,14.6813936540807
"domlem_conf08",10,-22.6626684285714,14.8325618811093
"domlem_conf08",11,-22.0856075714286,14.5520171703686
"domlem_conf08",12,-20.834452,13.8085091412073
"domlem_conf08",13,-20.2318092857143,13.5828537695966
"domlem_conf08",14,-19.8508617142857,13.5039755637425
"domlem_conf08",15,-19.7071011428571,13.6534471687513
"domlem_conf08",16,-19.5894307142857,13.6893670508975
"domlem_conf08",17,-19.5658198571429,13.7270602685217
"domlem_conf08",18,-19.6441267142857,13.6837969510025
"domlem_conf08",19,-19.2405358571429,13.7762570165491
"domlem_conf08_15",1,-89.9651552857143,50.2089810907736
"domlem_conf08_15",2,-51.0390024285714,32.4245582576249
"domlem_conf08_15",3,-35.0984532857143,20.8796513600466
"domlem_conf08_15",4,-31.0187282857143,19.0231539813828
"domlem_conf08_15",5,-29.6353978571429,19.0516767329452
"domlem_conf08_15",6,-28.5584307142857,17.9577933097203
"domlem_conf08_15",7,-27.973171,17.9258202432309
"domlem_conf08_15",8,-27.5563168571429,17.1624501557358
"domlem_conf08_15",9,-26.916788,16.9970420787444
"domlem_conf08_15",10,-26.7604537142857,17.1407477141634
"domlem_conf08_15",11,-25.9915111428571,16.9033231750513
"domlem_conf08_15",12,-24.8122358571429,16.1146141829496
"domlem_conf08_15",13,-24.73396,16.3915821001797
"domlem_conf08_15",14,-23.7268164285714,15.0223266523533
"domlem_conf08_15",15,-23.7766102857143,15.0304203747137
"domlem_conf08_15",16,-23.553387,15.2853865059677
"domlem_conf08_15",17,-22.6791907142857,14.2790000063481
"domlem_conf08_15",18,-21.800535,13.6252501975448
"domlem_conf08_15",19,-21.0528732857143,13.1231624963542
"domlem_multirules",1,-51.3648427142857,44.1082171441324
"domlem_multirules",2,-29.204897,19.8898188653181
"domlem_multirules",3,-25.3459267142857,18.9704294622774
"domlem_multirules",4,-23.1927185714286,16.7653265048025
"domlem_multirules",5,-19.7853624285714,14.4914394495375
"domlem_multirules",6,-20.2952318571429,15.4735159259391
"domlem_multirules",7,-19.0084314285714,14.7911607200529
"domlem_multirules",8,-18.6538624285714,14.7945530899974
"domlem_multirules",9,-18.2963755714286,15.0300484393980
"domlem_multirules",10,-18.1407144285714,14.8026396818948
"domlem_multirules",11,-17.6222297142857,14.4602037572702
"domlem_multirules",12,-17.5313062857143,14.5166429434792
"domlem_multirules",13,-17.3830151428571,14.5316677409369
"domlem_multirules",14,-17.1677255714286,14.7419260106618
"domlem_multirules",15,-17.2135851428571,14.7035472605800
"domlem_multirules",16,-16.9817748571429,14.6117352861739
"domlem_multirules",17,-16.8605042857143,14.7351742502192
"domlem_multirules",18,-16.8228138571429,14.7760683035045
"domlem_multirules",19,-16.5328712857143,15.0913255189975
"domlem_multirules_15",1,-62.8820481428571,28.9335823772632
"domlem_multirules_15",2,-36.1252041428571,11.5683538313409
"domlem_multirules_15",3,-25.9415721428571,9.5709360367744
"domlem_multirules_15",4,-22.7181984285714,8.60808600547026
"domlem_multirules_15",5,-20.5891988571429,8.63388152561949
"domlem_multirules_15",6,-19.3275091428571,7.8190232078223
"domlem_multirules_15",7,-18.707242,7.98263819138556
"domlem_multirules_15",8,-17.7100744285714,8.17105350146597
"domlem_multirules_15",9,-17.9175735714286,10.2187030214185
"domlem_multirules_15",10,-17.7101108571429,10.3381223500544
"domlem_multirules_15",11,-16.8093515714286,8.99815937843403
"domlem_multirules_15",12,-16.2019932857143,9.0283603384614
"domlem_multirules_15",13,-15.3888088571429,7.13386851060132
"domlem_multirules_15",14,-15.1230528571429,7.24226423232747
"domlem_multirules_15",15,-15.0993281428571,7.01909169909499
"domlem_multirules_15",16,-14.6374528571429,7.15723956722391
"domlem_multirules_15",17,-14.3752031428571,7.19123305655088
"domlem_multirules_15",18,-14.4277687142857,7.50029806457934
"domlem_multirules_15",19,-13.6347388571429,7.59762488244176
