"test","outer","value_mean","value_sd"
"domlem",1,6370.997118,210.710206642303
"domlem",2,6550.06546886667,104.797369394024
"domlem",3,6582.2995246,76.3441934339823
"domlem",4,6593.2302948,75.6980264621209
"domlem",5,6625.0317148,65.9110681149111
"domlem",6,6647.63554013333,48.6762461845758
"domlem",7,6655.9927828,48.5924718780941
"domlem",8,6676.355605,50.1522178767868
"domlem",9,6676.2471528,50.336754047756
"domlem",10,6676.2471528,50.336754047756
"domlem",11,6679.33461726667,51.9515632787123
"domlem",12,6689.7838196,47.6411741445449
"domlem",13,6698.9931158,48.9261138129565
"domlem",14,6702.77618386667,43.7982466249356
"domlem",15,6702.7406982,43.824469458687
"domlem",16,6703.83794486667,44.7032489653110
"domlem",17,6708.9793872,38.7072903636723
"domlem",18,6708.9793872,38.7072903636723
"domlem",19,6708.9793872,38.7072903636723
"domlem_15good",1,6241.0356072,207.627509061939
"domlem_15good",2,6423.2213106,100.899432069279
"domlem_15good",3,6527.5553774,60.6044290735119
"domlem_15good",4,6577.1441283,30.3559380271366
"domlem_15good",5,6590.1215939,36.0896801931649
"domlem_15good",6,6618.5335115,47.3592909553667
"domlem_15good",7,6627.0821598,41.3303304112865
"domlem_15good",8,6639.7443506,43.1258800591887
"domlem_15good",9,6641.6811451,44.1654598826483
"domlem_15good",10,6649.6943943,37.7370543780185
"domlem_15good",11,6649.6943943,37.7370543780185
"domlem_15good",12,6653.100096,39.8649273562863
"domlem_15good",13,6657.1649776,43.1887085200462
"domlem_15good",14,6662.2894533,38.2423506744265
"domlem_15good",15,6670.1134769,29.2710912684016
"domlem_15good",16,6676.1839364,30.9103922118878
"domlem_15good",17,6673.8267605,29.7102348468919
"domlem_15good",18,6676.9987226,31.1958971154368
"domlem_15good",19,6702.6933854,52.737429744254
"domlem_conf06",1,6458.68414185714,176.125181511671
"domlem_conf06",2,6554.52702257143,81.5461408450712
"domlem_conf06",3,6604.15331442857,24.1540686805864
"domlem_conf06",4,6628.71792228571,48.4441074911747
"domlem_conf06",5,6627.59146828571,50.187970387143
"domlem_conf06",6,6640.952588,50.4901440901805
"domlem_conf06",7,6648.42791471429,42.9656366107727
"domlem_conf06",8,6648.33999571429,43.0556074424065
"domlem_conf06",9,6651.433516,42.33527057893
"domlem_conf06",10,6655.11267785714,43.5148808444017
"domlem_conf06",11,6658.84220428571,40.0171468422274
"domlem_conf06",12,6664.29838428571,36.9371126827105
"domlem_conf06",13,6664.29838428571,36.9371126827105
"domlem_conf06",14,6671.68985842857,41.3279471486350
"domlem_conf06",15,6671.68985842857,41.3279471486350
"domlem_conf06",16,6671.68985842857,41.3279471486350
"domlem_conf06",17,6672.18086885714,40.8573137218201
"domlem_conf06",18,6673.71836885714,42.8385230397329
"domlem_conf06",19,6673.71836885714,42.8385230397329
"domlem_conf06_15",1,6399.34147042857,208.666900726729
"domlem_conf06_15",2,6516.66127114286,108.805951679303
"domlem_conf06_15",3,6555.59375842857,94.5979753418957
"domlem_conf06_15",4,6603.19182171429,88.61051870943
"domlem_conf06_15",5,6607.81329428571,90.1997693596142
"domlem_conf06_15",6,6623.12309071429,70.8414725727349
"domlem_conf06_15",7,6626.89562971429,55.6244896268532
