"test","outer","value_mean","value_sd"
"domlem_conf06_15",1,-50.9859494285714,24.7587157806926
"domlem_conf06_15",2,-24.2171635714286,16.7712246295738
"domlem_conf06_15",3,-18.6985947142857,13.7750721051948
"domlem_conf06_15",4,-15.2546372857143,10.5291399914031
"domlem_conf06_15",5,-13.12703,7.68724455853624
"domlem_conf06_15",6,-12.1085008571429,7.46029973597722
"domlem_conf06_15",7,-11.7826321428571,7.96020503140002
"domlem_conf06_15",8,-10.437213,8.2850928232973
"domlem_conf06_15",9,-9.715185,7.36274176204041
"domlem_conf06_15",10,-9.08861714285714,7.39219284707572
"domlem_conf06_15",11,-8.74392871428571,7.47057291241695
"domlem_conf06_15",12,-12.4602635714286,11.1796288996645
"domlem_conf06_15",13,-11.6352655714286,10.8330560614002
"domlem_conf06_15",14,-11.5092981428571,10.9095399874929
"domlem_conf06_15",15,-11.0647831428571,10.2269894414737
"domlem_conf06_15",16,-10.5298207142857,10.9039430618847
"domlem_conf06_15",17,-9.89325571428571,10.5219134232080
"domlem_conf06_15",18,-10.0004907142857,10.7385923063745
"domlem_conf06_15",19,-9.92393814285714,10.7942560040338
"supp",1,-22.0671162,11.8122110884544
"supp",2,-15.2574986,9.23974018801852
"supp",3,-13.2919572666667,8.48794873184781
"supp",4,-12.0341928,8.07922441488177
"supp",5,-11.4081883333333,8.04300494031367
"supp",6,-10.6011192666667,7.64205881301059
"supp",7,-10.1809587333333,7.6913963196376
"supp",8,-10.0109669333333,7.77290993258991
"supp",9,-9.78166473333333,7.70795447105697
"supp",10,-9.5584798,7.6544001281335
"supp",11,-9.139964,7.73623198626503
"supp",12,-9.00253286666667,7.7653026143969
"supp",13,-8.68978206666667,7.68784697044432
"supp",14,-8.56128973333333,7.66531129023676
"supp",15,-8.474676,7.63472395247979
"supp",16,-8.1745484,7.41520884161746
"supp",17,-7.91167373333333,7.08011100864148
"supp",18,-7.80223653333333,6.99680205099509
"supp",19,-7.6602518,6.94004083134268
