"test","outer","value_mean","value_sd"
"domlem_conf06_15",1,6399.34147042857,208.666900726729
"domlem_conf06_15",2,6516.66127114286,108.805951679303
"domlem_conf06_15",3,6555.59375842857,94.5979753418957
"domlem_conf06_15",4,6603.19182171429,88.61051870943
"domlem_conf06_15",5,6607.81329428571,90.1997693596142
"domlem_conf06_15",6,6623.12309071429,70.8414725727349
"domlem_conf06_15",7,6626.89562971429,55.6244896268532
"domlem_conf06_15",8,6661.15068,78.8590505687645
"domlem_conf06_15",9,6686.49719985714,68.391626441665
"domlem_conf06_15",10,6695.45075314286,59.806238798707
"domlem_conf06_15",11,6697.45922614286,54.0588389174279
"domlem_conf06_15",12,6697.45922614286,54.0588389174279
"domlem_conf06_15",13,6693.86990757143,59.4373810099514
"domlem_conf06_15",14,6693.593852,59.6203812024587
"domlem_conf06_15",15,6698.10194171429,57.7264160750404
"domlem_conf06_15",16,6698.10194171429,57.7264160750404
"domlem_conf06_15",17,6697.50203985714,57.2048151320492
"domlem_conf06_15",18,6707.59777928571,46.9107316896247
"domlem_conf06_15",19,6707.98346,47.6239566540612
"supp",1,6551.0283036,105.127125174491
"supp",2,6618.30834473333,59.9821787619432
"supp",3,6627.0344698,55.9916427364113
"supp",4,6641.9717784,56.6773763974719
"supp",5,6646.64322213333,52.7132536437737
"supp",6,6657.23851213333,43.5509400228674
"supp",7,6660.00900166667,42.1771271202724
"supp",8,6674.67524373333,41.2558788021898
"supp",9,6678.98228313333,42.1847221692565
"supp",10,6678.98228313333,42.1847221692565
"supp",11,6682.55375573333,38.4166373206409
"supp",12,6688.63437006667,42.8848553943567
"supp",13,6688.87653666667,42.5791058493623
"supp",14,6688.87653666667,42.5791058493623
"supp",15,6691.58859533333,40.1649342254543
"supp",16,6695.67881513333,41.1402202183686
"supp",17,6701.3454038,39.7023907956385
"supp",18,6701.3454038,39.7023907956385
"supp",19,6710.87036106667,40.0239630375899
